#,TITLE,DOI,YEAR
242.0,Vulnerability and adaptation options to climate change for rural livelihoods â€“ A country-wide analysis for Uganda,10.1016/j.agsy.2019.102663,2019
241.0,"Spodoptera eridania: Current and emerging crop threats from another invasive, pesticide-resistant moth",10.1127/entomologia/2022/1397,2022
240.0,Temporal Changes in Minimum and Maximum Temperatures at Selected Locations of Southern Africa,10.3390/cli11040084,2023
238.0,Zoom in at African country level: potential climate-induced changes in areas of suitability for survival of malaria vectors,10.1186/1476-072X-13-12,2014
237.0,"Tectonics, climate and the diversification of the tropical African terrestrial flora",10.1111/brv.12644,2020
235.0,Socio-economic determinants for the deployment of Climate-Smart One-Health innovations: A meta-analysis approach prioritizing Ghana and Benin,10.1371/journal.pstr.0000052,2023
234.0,Tackling the nitrogen management challenge: from global to local scales,10.1088/1748-9326/11/12/120205,2016
233.0,"Understanding the consequences of changes in the production frontiers for roots, tubers and bananas",10.1016/j.gfs.2018.12.005,2019
230.0,Stressors and Resilience within the Cassava Value Chain in Nigeria: Preferred Cassava Variety Traits and Response Strategies of Men and Women to Inform Breeding,10.3390/su15107837,2023
229.0,Yield Performance and Stability Analysis of Promising Soybean Genotypes under Contrasting Environments in the Semi-arid Zone of Sudan,10.18805/LRF-722,2023
228.0,"Spatial-Temporal Trends of Rainfall, Maximum and Minimum Temperatures Over West Africa",10.1109/ACCESS.2020.2999255,2020
227.0,Spatial and temporal distribution of optimal maize sowing dates in Nigeria,10.1371/journal.pone.0300427,2024
225.0,Worldâ€™s soils are under threat,10.5194/soil-2-79-2016,2016
223.0,Use of modelling tools to assess climate change impacts on smallholder oil seed yields in South Africa,10.1371/journal.pone.0301254,2024
221.0,A spatial framework for ex-ante impact assessment of agricultural technologies,10.1016/j.gfs.2018.12.006,2019
218.0,Strategic Foresight analysis of droughts in southern Africa and implications for food security,10.3389/fsufs.2023.1159901,2024
217.0,"Temperature-based phenology model to predict the development, survival, and reproduction of the oriental fruit fly Bactrocera dorsalis",10.1016/j.jtherbio.2021.102877,2021
216.0,Upper canopy tree crown architecture and its implications for shade in cocoa agroforestry systems in the Western Region of Ghana,10.1016/j.tfp.2021.100100,2021
215.0,Status of Integrated Soil Fertility Management (ISFM) in Southwestern Nigeria,10.18488/journal.70/2017.4.2/70.2.28.44,2017
214.0,Willingness to pay for weather index-based insurance in semi-subsistence agriculture: evidence from northern Togo,10.1080/14693062.2020.1745742,2020
213.0,Understanding the response of sorghum cultivars to nitrogen applications in the semi-arid Nigeria using the agricultural production systems simulator,10.1080/01904167.2020.1711939,2020
210.0,Adoption of agronomic practices and their impact on crop yield and income: An analysis for black gram and green gram in India,10.1111/1477-9552.12617,2024
209.0,Can sub-Saharan Africa feed itself?,10.1073/pnas.1610359113,2016
207.0,Analysis of adoption of conservation agriculture practices in southern Africa: mixed-methods approach,10.3389/fsufs.2023.1151876,2023
206.0,Assessment of climate change impact and adaptation strategy for millet in the Sudanoâ€‘Sahelian region of Niger,10.1007/s10113-024-02313-5,2024
205.0,Assessing the use of a drought-tolerant variety as adaptation strategy for maize production under climate change in the savannas of Nigeria,10.1038/s41598-021-88277-6,2021
204.0,Evaluating the use of nitrogen and phosphorous fertilization as crop management options for maize adaptation to climate change in the Nigeria savannas,10.1007/s00704-016-1931-6,2023
203.0,Climate change impacts and potential benefits of heat-tolerant maize in South Asia,10.1016/j.gsd.2019.100218,2017
200.0,An assessment of groundwater recharge estimation techniques for sustainable resource management,10.1088/1748-9326/aac092,2019
196.0,Beyond the plot: Technology extrapolation domains for scaling out agronomic science,10.1016/j.pbi.2020.05.002,2018
195.0,Developing the role of legumes in West Africa under climate change,10.3389/fpls.2021.798993,2020
193.0,Breeding Potentials of Bambara Groundnut for Food and Nutrition Security in the Face of Climate Change,10.1111/ejss.70069,2022
191.0,"Assessment of Genetic Diversity for Drought, Heat and Combined Drought and Heat Stress Tolerance in Early Maturing Maize Landraces",10.1016/j.scitotenv.2023.165657,2019
190.0,"Assessing the Potential of Extra-Early Maturing Landraces for Improving Tolerance to Drought, Heat, and Both Combined Stresses in Maize",10.1007/s00425-019-03191-6,2020
189.0,Assessing the skill of gridded satellite and reanalysis precipitation products over in East and Southern Africa,10.1007/s10457-023-00950-z,2023
188.0,"Allometric equations, wood density and partitioning of aboveground biomass in the arboretum of Ruhande, Rwanda",10.5539/sar.v8n2p68,2021
187.0,Editorial: Modelling approaches for climate variability and change mitigation and adaptation in resource constrained farming systems,10.3389/fpls.2015.00563,2024
186.0,Current Problems Leading to Soil Degradation in Africa: Raising Awareness and Finding Potential Solutions,10.1094/PDIS-07-22-1672-RE,2025
185.0,"Combined effects of shade and drought on physiology, growth, and yield of mature cocoa trees",10.1080/17565529.2023.2178840,2023
184.0,Bambara groundnut: an exemplar underutilised legume for resilience under climate change,10.5897/JSSEM15.0502,2019
183.0,Do farmersâ€™ perceptions and socio-economic factors drive cocoa agroforestry and sustainable soil carbon management practices in West Africa?,10.1007/s10745-017-9899-0,2024
182.0,Climate Change and Cereal Production Evolution Trend in the Sahel: Case Study in Mali from 1951 to 2010,10.1016/j.fcr.2016.06.010,2019
181.0,Application of genomics-assisted breeding for generation of climate resilient crops: progress and prospects,10.1016/j.scitotenv.2017.08.041,2015
180.0,Climate-Related Risk Modeling of Banana Xanthomonas Wilt Disease Incidence in the Cropland Area of Rwanda,10.1371/journal.pone.0255326,2023
179.0,Beyond average: are the yield and income impacts of adopting drought-tolerant maize varieties heterogeneous?,10.1093/plcell/koac303,2024
178.0,Applicability of conservation agriculture for climate change adaptation in Rwandaâ€™s situation,10.1088/1748-9326/ac61c8,2015
174.0,Evaluating Farmersâ€™ Knowledge of Shade Trees in Different Cocoa Agro-Ecological Zones in Ghana,10.1007/s00267-018-1048-z,2017
173.0,Baseline simulation for global wheat production with CIMMYT mega-environment specific cultivars,10.1111/agec.12363,2016
171.0,Climate warming causes declines in crop yields and lowers school attendance rates in Central Africa,10.1002/ece3.3668,2018
170.0,"Collection, genotyping and virus elimination of cassava landraces from Tanzania and documentation of farmer knowledge",10.3390/agriculture12111853,2021
169.0,Systems biology for sustainable agriculture,10.1016/j.eja.2024.127137,2023
75.0,Are digital services the right solution for empowering smallholder farmers? A perspective enlightened by COVID-19 experiences to inform smart IPM,10.1371/journal.pstr.0000052,2023
